AltText,ImageURL
"شعار وزارة الشباب والرياضة المصرية","https://i.ibb.co/svYcvjR/mcy-logo.png"
"ICDL Accredited Test Centre Logo","https://i.ibb.co/k5zqzVb/icdl-accredited.png"
"National Education Network Logo","https://i.ibb.co/R4T5g9c/nen-logo-color.png"
"شعار جمهورية مصر العربية","https://i.ibb.co/yYXH8k3/egy-eagle.png"
